pos,city,country,lat,lon
0,SAN FRANCISCO,US,37.77,-122.42
1,DALLAS,US,32.78,-96.80
2,HOUSTON,US,29.76,-95.37
3,CHICAGO,US,41.88,-87.63
6,COLUMBUS,US,39.96,-83.0
4,TAMPA,US,27.95,-82.46
7,NEWARK,US,39.68,-75.75
8,JERSEY CITY,US,40.73,-74.08
9,NEW YORK,US,40.71,-74.0
5,BUENOS ARIES,AR,-34.60,-58.38
10,GLASGOW,GB,55.86,-4.25
11,BOURNEMOUTH,GB,50.72,-1.88
12,LONDON,GB,51.51,-0.13
13,MUMBAI,IN,19.08,72.88
15,BENGALARU,IN,12.97,77.59
14,HYDERABAD,IN,17.39,78.49
16,CHENNAI,IN,13.08,80.27
17,KOLKATA,IN,22.57,88.36
18,SINGAPORE,SG,1.35,103.82
19,HONG KONG,CN,22.4,114.11
20,TAIPEI,CN,25.03,121.57
21,TOKYO,JP,35.69,139.69
